Rue Charles-Alexandre-Lesueur 76310 Sainte-Adresse
6 Rue Félix Faure, 76930 Octeville-sur-Mer
9 Rue du Carreau, 76290 Mannevillette
29 Av. Pierre Mendès France, 76290 Montivilliers
109 Rte de l'Église, 76430 Oudalle
Usine Renault de Sandouville, ZI Portuaire du Havre, BP 134, Le Havre cedex
Rte de la Chimie, 76700 Gonfreville-l'Orcher
150 Rue des Chantiers, 76600 Le Havre
45 Rue Gustave Brindeau, 76600 Le Havre
2 Bd Clemenceau, 76600 Le Havre
267 Rue Félix Faure, 76620 Le Havre
Quai Roger Meunier, 76059 Le Havre
